BasedCity,EmployeeID,Gender,BirthDate,Age,JoinDate,Education,Department,EmployeementStatus,ExitDate,MarrigeStatus,Nationality
GZ,00379720,Female,1992/11/22,30.4,2022/01/01,,D20069031,Active,,Married,China
GZ,10407054,Female,1995/05/21,28.0,2022/01/01,,D20069051,Active,,Unmarried,China
GZ,10424275,Female,1994/09/26,28.6,2022/01/01,,D20069041,Exit,2023/04/27,Unmarried,China
GZ,10426422,Female,1998/07/28,24.8,2022/04/11,,D20069031,Active,,,China
GZ,10446306,Female,1984/11/05,38.5,2022/01/24,,D20069051,Active,,Married,China
GZ,10447982,Female,1995/12/15,27.4,2022/02/07,,D20069031,Active,,Unmarried,China
SH,10449095,Female,1988/11/09,34.5,2022/02/14,,D20069041,Active,,Unmarried,China
GZ,10450280,Female,1989/11/12,33.5,2022/03/07,,D20069041,Active,,Married,China
GZ,10450511,Female,1996/05/20,27.0,2022/11/01,,D20069041,Active,,Unmarried,China
GZ,10451277,Male,1987/04/15,36.1,2022/03/21,,D20060010,Exit,2022/04/29,,China
GZ,10452154,Female,1992/07/31,30.8,2022/04/01,,D20069031,Exit,2022/09/15,,China
GZ,10452169,Female,1996/10/30,26.5,2022/04/12,,D20069041,Active,,Married,China
SH,10454168,Female,1992/05/13,31.0,2022/04/18,Bachelor,D20069031,Active,,Married,China
GZ,10454171,Female,1995/02/12,28.2,2022/04/18,,D20069041,Active,,,China
GZ,10454308,Male,1987/03/23,36.1,2022/04/22,,D20069031,Active,,Unmarried,China
GZ,10454314,Female,1997/06/14,25.9,2022/04/29,,D20069031,Active,,Unmarried,China
SH,10455805,Male,1995/09/02,27.7,2022/05/13,,D20069031,Active,,Unmarried,China
GZ,10457880,Female,1988/06/24,34.9,2022/06/20,,D20069011,Exit,2022/07/22,Unmarried,China
GZ,10458527,Female,1993/12/13,29.4,2022/07/11,,D20069031,Exit,2022/09/09,Unmarried,China
GZ,10459410,Female,1989/12/02,33.4,2022/06/27,,D20069021,Active,,,China
GZ,10460346,Female,1997/05/07,26.0,2022/07/04,,D20069021,Active,,,China
GZ,10461587,Female,1989/11/19,33.5,2022/08/08,,D20069031,Active,,,China
GZ,10462104,Female,1997/05/01,26.0,2022/07/15,,D20069031,Active,,,China
GZ,10462673,Female,1986/04/07,37.1,2022/08/15,,D20069031,Active,,Unmarried,China
SH,10465602,Female,1995/12/19,27.4,2022/09/26,,D20069031,Active,,Unmarried,China
GZ,10465812,Female,1990/04/01,33.1,2022/09/23,,D20069031,Active,,,China
GZ,10466507,Female,1982/11/27,40.4,2022/09/30,,D20069021,Exit,2023/03/29,,China
GZ,10468109,Female,1994/12/22,28.4,2022/10/13,,D20069031,Active,,,China
GZ,10471621,Female,1990/10/27,32.5,2022/11/28,,D20069041,Active,,Unmarried,China
SH,10471622,Female,1994/07/23,28.8,2022/12/12,,D20069031,Active,,Unmarried,China
GZ,10471633,Female,1996/04/28,27.0,2022/12/26,,D20069031,Active,,Unmarried,China
GZ,10473912,Female,1987/12/12,35.4,2023/01/16,,D20069021,Active,,Married,China
GZ,2000030017,Female,1980/12/24,42.4,2000/03/08,College,D20069051,Active,,Married,China
GZ,2000040015,Female,1971/10/20,51.6,2000/04/24,College,D20069021,Active,,Married,China
SH,2004081650,Female,1977/12/18,45.4,2004/08/03,Master,D20069031,Active,,Married,China
GZ,2004090001,Female,1978/06/27,44.9,2004/09/01,College,D20069051,Active,,Married,China
GZ,2005080001,Female,1982/04/20,41.0,2005/08/01,Bachelor,D20069011,Active,,Married,China
SH,2006056011,Female,1984/10/30,38.5,2006/05/08,Bachelor,600403000,Exit,2017/07/31,Married,China
SH,2006062031,Female,1982/06/25,40.9,2006/06/19,Bachelor,D20069021,Active,,Married,China
GZ,2007100009,Female,1977/12/06,45.4,2007/10/17,Master,D20053000,Exit,2019/12/15,Married,China
GZ,2008080030,Female,1984/09/27,38.6,2008/08/25,Bachelor,D20069041,Active,,Married,China
GZ,2009100003,Female,1985/11/24,37.4,2009/10/09,Bachelor,D20069021,Exit,2023/03/24,Unmarried,China
SH,2010066033,Female,1973/09/23,49.6,2010/06/03,Master,D20060010,Exit,2021/12/31,Married,China
GZ,2010110001,Male,1982/08/25,40.7,2010/11/01,Bachelor,D20060040,Exit,2019/07/12,Married,China
SH,2010116032,Female,1982/10/19,40.5,2018/02/26,Bachelor,D20069031,Active,,Married,China
GZ,2011100078,Female,1987/04/25,36.0,2011/10/27,Bachelor,D20060040,Exit,2020/08/07,Married,China
SH,2011126019,Female,1988/11/21,34.4,2011/12/19,Bachelor,D20060040,Exit,2021/01/19,Married,China
SH,2011126038,Female,1977/07/02,45.8,2010/07/01,Bachelor,D20060040,Exit,2018/08/31,Married,China
GZ,2012010052,Male,1980/03/11,43.2,2012/01/04,Master,D20060010,Exit,2019/01/31,Married,China
GZ,2012040043,Male,1971/03/07,52.2,2012/04/01,,600401000,Exit,2017/04/30,Married,China
GZ,2012040165,Male,1982/08/25,40.7,2012/04/18,,D20060010,Exit,2022/02/28,Married,Australia
SH,2012046008,Female,1984/01/29,39.3,2012/04/01,Bachelor,600401000,Exit,2018/05/18,Married,China
GZ,2012070071,Female,1983/05/09,40.0,2012/06/25,Bachelor,D20069011,Active,,Unmarried,China
SH,2012070104,Female,1989/01/04,34.3,2012/07/02,Bachelor,D20060040,Exit,2019/08/27,Unmarried,China
GZ,2012070170,Female,1991/01/15,32.3,2012/07/01,Bachelor,D20060010,Exit,2021/01/20,Unmarried,China
GZ,2012070274,Female,1987/02/07,36.2,2012/07/25,Bachelor,D20069051,Active,,Unmarried,China
SH,2012086103,Female,1983/08/21,39.7,2012/08/06,,600104000,Exit,2017/12/25,Unmarried,China
GZ,2012100012,Female,1980/03/26,43.1,2012/10/11,Master,D20060010,Exit,2021/04/09,Married,China
GZ,2013050122,Male,1984/01/28,39.3,2013/05/13,Master,600105000,Exit,2018/04/30,Married,China
GZ,2013060043,Female,1988/11/14,34.5,2013/06/05,Bachelor,D20060010,Exit,2021/04/30,Married,China
SH,2013066133,Female,1980/09/04,42.7,2013/06/24,Master,D20060040,Exit,2018/08/31,Married,China
GZ,2013070224,Female,1990/10/18,32.5,2013/07/01,Bachelor,600101000,Exit,2017/08/10,Unmarried,China
GZ,2013090315,Female,1986/10/19,36.5,2013/09/09,Bachelor,D20060010,Exit,2021/04/23,Married,China
GZ,2014050117,Male,1985/07/21,37.8,2014/05/22,Bachelor,D20060010,Exit,2019/03/15,Unmarried,China
GZ,2014050125,Female,1989/12/07,33.4,2014/05/19,Bachelor,D20060010,Exit,2022/06/10,Married,China
GZ,2014060028,Female,1988/02/15,35.2,2014/06/03,Bachelor,600105000,Exit,2017/04/14,Unmarried,China
GZ,2014060031,Female,1989/09/15,33.6,2014/06/13,Bachelor,D20060010,Exit,2020/06/30,Unmarried,China
SH,2014070055,Female,1982/12/29,40.4,2010/05/31,Bachelor,D20060010,Exit,2022/06/30,Married,China
GZ,2014070123,Female,1985/08/28,37.7,2014/07/21,Bachelor,D20069041,Active,,Married,China
GZ,2014074684,Male,1990/04/12,33.1,2022/02/07,Bachelor,D20069011,Active,,Unmarried,China
SH,2014080014,Female,1971/05/24,52.0,2010/12/13,Master,600401000,Exit,2017/04/30,Married,China
SH,2014080033,Female,1984/09/21,38.6,2014/07/21,Master,600401000,Exit,2017/11/24,Married,China
SH,2014080034,Female,1988/11/28,34.4,2014/07/21,Bachelor,D20060010,Exit,2021/01/05,Married,China
GZ,2014080037,Female,1991/08/15,31.7,2014/08/11,College,600101000,Exit,2017/06/16,Married,China
SH,2014090142,Male,1978/12/25,44.4,2014/09/30,Bachelor,D20060040,Exit,2018/09/07,Married,
GZ,2014120023,Female,1982/12/28,40.4,2014/12/12,Bachelor,600101000,Exit,2017/05/31,Unmarried,
SH,2015010020,Male,1983/11/05,39.5,2015/01/05,Bachelor,D20060010,Exit,2018/12/03,Married,China
SH,2015030062,Female,1983/07/11,39.8,2015/03/02,Bachelor,600400000,Exit,2017/06/30,Unmarried,China
GZ,2015040056,Female,1984/03/22,39.1,2015/04/14,Bachelor,D20060010,Exit,2019/01/11,Married,China
GZ,2015040229,Female,1986/09/09,36.7,2015/04/20,Bachelor,D20060010,Exit,2021/10/25,Married,China
GZ,2015050024,Female,1989/09/03,33.7,2015/05/04,Master,600105000,Exit,2017/10/24,Married,China
GZ,2015050037,Male,1972/08/26,50.7,2015/05/01,Bachelor,600402000,Exit,2017/12/01,Unmarried,China
GZ,2015050079,Male,1990/09/22,32.6,2015/05/14,Bachelor,D20069021,Exit,2023/04/04,Unmarried,China
GZ,2015060028,Female,1986/06/13,36.9,2015/06/01,Bachelor,D20060040,Exit,2022/07/18,Married,China
SH,2015080040,Female,1992/10/23,30.5,2015/08/01,Bachelor,D20060010,Exit,2022/01/28,Married,China
SH,2015090015,Male,1964/08/26,58.7,2000/10/01,Master,D20060040,Exit,2021/07/31,Married,Hungary
GZ,2015120018,Female,1984/02/19,39.2,2015/12/07,Bachelor,600104000,Exit,2017/12/12,Unmarried,China
GZ,2016020009,Female,1987/02/03,36.2,2011/07/18,Bachelor,D20069041,Active,,Married,China
GZ,2016030012,Female,1987/04/17,36.0,2012/07/02,,D20060040,Exit,2019/05/17,Married,China
GZ,2016030025,Male,1970/01/25,53.3,2016/03/10,,D20069011,Active,,Married,Australia
SH,2016030062,Male,1987/06/19,35.9,2016/03/28,,D20060040,Exit,2020/02/04,Married,China
GZ,2016040014,Female,1993/06/07,29.9,2016/05/03,College,D20069021,Active,,Unmarried,China
GZ,2016040019,Female,1989/11/20,33.5,2016/04/18,Bachelor,D20069051,Active,,Married,China
GZ,2016040029,Female,1982/12/28,40.4,2016/04/25,Bachelor,D20069021,Active,,Married,China
GZ,2016040036,Female,1980/04/05,43.1,2016/04/25,Bachelor,D20069031,Active,,Unmarried,China
GZ,2016040038,Female,1993/01/05,30.3,2016/04/25,,D20060010,Exit,2021/07/23,Unmarried,China
GZ,2016040134,Female,1981/09/10,41.7,2016/05/09,Bachelor,D20060010,Exit,2022/05/31,Married,China
GZ,2016040188,Female,1989/12/17,33.4,2016/05/09,Bachelor,D20069031,Exit,2022/09/19,Unmarried,China
GZ,2016050003,Female,1990/09/17,32.6,2016/05/09,Bachelor,D20060010,Exit,2018/09/19,Married,
GZ,2016050027,Female,1988/04/03,35.1,2016/05/16,Bachelor,D20069031,Exit,2023/04/14,Unmarried,China
GZ,2016050039,Female,1978/02/16,45.2,2016/06/06,Master,D20060010,Exit,2021/08/27,Married,Australia
SH,2016050049,Male,1991/07/20,31.8,2016/07/01,Master,600402000,Exit,2017/06/30,Unmarried,China
GZ,2016060003,Female,1982/08/04,40.8,2016/06/06,Master,600101000,Exit,2018/05/31,Married,China
GZ,2016060006,Male,1981/10/03,41.6,2016/06/13,Bachelor,D20060010,Exit,2019/07/24,Married,China
GZ,2016060007,Female,1987/11/14,35.5,2016/06/13,Bachelor,D20060010,Exit,2018/09/14,Married,China
SH,2016060024,Female,1987/11/03,35.5,2016/06/16,Bachelor,600404000,Exit,2018/07/18,Unmarried,China
GZ,2016060026,Female,1984/08/22,38.7,2016/06/20,Master,D20069031,Active,,Married,Australia
GZ,2016060027,Female,1991/01/12,32.3,2016/06/27,Master,600101000,Exit,2017/07/13,Unmarried,China
SH,2016060028,Female,1990/05/26,32.9,2020/03/16,Bachelor,D20060040,Exit,2021/08/20,Unmarried,China
GZ,2016060031,Female,1985/12/02,37.4,2016/06/20,Bachelor,D20060010,Exit,2020/03/06,Unmarried,China
GZ,2016060032,Female,1989/06/24,33.9,2016/06/20,Bachelor,D20060010,Exit,2019/05/24,Unmarried,China
SH,2016070016,Female,1991/12/22,31.4,2016/07/01,Bachelor,D20060040,Exit,2020/09/28,Unmarried,China
GZ,2016070026,Female,1985/09/29,37.6,2016/07/11,Bachelor,D20060010,Exit,2019/05/30,Married,China
GZ,2016070050,Female,1989/03/15,34.1,2016/07/18,Bachelor,600104000,Exit,2017/03/31,Unmarried,China
GZ,2016070051,Female,1989/04/13,34.1,2016/07/15,Bachelor,D20060010,Exit,2018/09/20,Unmarried,China
GZ,2016070165,Female,1986/02/05,37.2,2016/07/28,Bachelor,600103000,Exit,2018/06/11,Married,China
SH,2016080011,Female,1985/03/20,38.1,2016/08/15,Bachelor,D20060040,Exit,2020/01/03,Married,China
GZ,2016080016,Female,1983/05/07,40.0,2016/08/26,Bachelor,D20060010,Exit,2019/04/26,Married,China
GZ,2016090024,Male,1984/05/20,39.0,2016/09/12,,600105000,Exit,2018/01/05,Married,China
GZ,2016090112,Female,1983/06/28,39.9,2016/09/19,,D20060010,Exit,2019/09/30,,China
GZ,2016090113,Male,1981/07/13,41.8,2016/09/27,Bachelor,D20060010,Exit,2019/04/30,Married,China
SH,2016090137,Female,1983/04/13,40.1,2015/10/26,Bachelor,D20060040,Exit,2019/11/15,Married,China
SH,2016100021,Female,1993/06/16,29.9,2016/10/24,Bachelor,D20069051,Active,,Unmarried,China
GZ,2016100029,Female,1984/08/24,38.7,2016/10/27,Bachelor,D20060010,Exit,2021/04/16,Married,China
GZ,2016100096,Female,1985/10/12,37.6,2016/11/10,Bachelor,600103000,Exit,2017/09/08,Married,China
GZ,2016100097,Female,1991/07/05,31.8,2016/11/14,Bachelor,D20069031,Active,,Married,China
GZ,2016120009,Female,1988/10/16,34.5,2016/12/12,Bachelor,D20060010,Exit,2019/11/15,Married,China
GZ,2016120035,Female,1977/05/23,46.0,2017/01/12,Master,D20069031,Active,,Married,China
GZ,2017015107,Female,1991/11/11,31.5,2017/01/01,Bachelor,600403000,Exit,2018/07/10,Unmarried,China
GZ,2017015173,Female,1992/12/14,30.4,2017/02/01,Bachelor,D20069031,Exit,2023/02/17,Unmarried,China
GZ,2017020010,Female,1983/11/24,39.4,2017/02/13,Bachelor,D20060010,Exit,2021/06/07,Married,China
SH,2017020021,Male,1985/06/19,37.9,2017/02/20,Master,D20060010,Exit,2022/05/31,Unmarried,China
GZ,2017045127,Female,1989/03/21,34.1,2017/04/17,Bachelor,600103000,Exit,2018/05/18,Unmarried,China
SH,2017045259,Female,1994/07/10,28.8,2017/05/01,Bachelor,600403000,Exit,2018/07/31,Unmarried,China
GZ,2017060014,Female,1984/05/23,39.0,2017/06/12,Bachelor,D20060010,Exit,2018/11/21,Married,China
GZ,2017060016,Female,1990/02/24,33.2,2017/06/12,Master,D20060010,Exit,2021/11/30,Unmarried,China
SH,2017060019,Female,1994/10/12,28.6,2018/07/01,Bachelor,D20060040,Exit,2021/02/26,Unmarried,China
GZ,2017060042,Female,1981/01/04,42.3,2017/06/26,Bachelor,600101000,Exit,2017/11/24,Married,China
SH,2017065383,Female,1995/08/30,27.7,2017/07/03,Bachelor,D20060040,Exit,2020/09/04,Unmarried,China
GZ,2017075479,Female,1991/07/14,31.8,2017/07/24,,D20069031,Active,,Married,China
GZ,2017075483,Female,1992/09/24,30.6,2017/07/01,Bachelor,D20060010,Exit,2022/01/28,Married,China
GZ,2017075485,Female,1992/12/03,30.4,2017/07/03,,D20060010,Exit,2019/04/26,Unmarried,China
GZ,2017075570,Female,1992/01/23,31.3,2017/08/01,,D20060010,Exit,2021/03/05,Unmarried,China
GZ,2017075650,Female,1994/03/28,29.1,2017/08/07,,D20060010,Exit,2020/08/31,Unmarried,China
GZ,2017088689,Female,1980/09/06,42.7,2017/09/04,,D20069021,Exit,2022/08/31,Unmarried,China
GZ,2017098786,Female,1991/02/19,32.2,2017/09/11,,D20060010,Exit,2021/07/26,Married,China
SH,2017098798,Female,1993/04/15,30.0,2017/10/16,,600106000,Exit,2018/01/12,Unmarried,
SH,2017098851,Female,1989/10/26,33.5,2017/10/09,,D20060010,Exit,2020/09/30,Married,China
SH,2017108905,Female,1993/02/28,30.2,2017/10/01,,D20060040,Exit,2019/03/31,Unmarried,China
GZ,2018019104,Female,1994/12/17,28.4,2018/02/01,Bachelor,D20069031,Exit,2023/02/17,Unmarried,China
GZ,2018029226,Male,1984/01/06,39.3,2018/03/01,,600101000,Exit,2018/08/31,,
GZ,2018039331,Female,1991/08/24,31.7,2018/04/16,Bachelor,600105000,Exit,2018/05/31,,
SH,2018049471,Female,1988/11/17,34.5,2018/04/28,,D20069031,Active,,Married,China
GZ,2018059656,Female,1983/12/21,39.4,2018/05/28,Bachelor,D20069031,Active,,Married,China
GZ,2018059658,Female,1988/09/07,34.7,2018/05/28,,D20060010,Exit,2022/02/10,Married,China
SH,2018059694,Male,1986/04/01,37.1,2018/06/01,Bachelor,D20060040,Exit,2021/06/16,Unmarried,China
GZ,2018069808,Female,1993/06/04,29.9,2018/06/11,Bachelor,D20069051,Active,,Married,China
SH,2018069832,Female,1996/08/12,26.7,2018/06/06,Bachelor,D20060010,Exit,2021/03/31,Unmarried,China
GZ,2018069910,Male,1996/02/09,27.2,2018/07/02,,D20060040,Exit,2019/01/31,Unmarried,China
GZ,2018070728,Female,1993/08/31,29.7,2018/08/06,Bachelor,D20069031,Active,,Unmarried,China
GZ,2018079944,Female,1979/12/09,43.4,2018/07/30,Bachelor,D20069051,Active,,Married,China
GZ,2018079946,Female,1993/10/18,29.5,2018/07/02,,D20060010,Exit,2022/04/15,Married,China
GZ,2018079967,Female,1992/01/11,31.3,2018/07/11,Bachelor,D20069041,Active,,Married,China
SH,2018081823,Female,1989/08/11,33.7,2018/09/05,Bachelor,D20060040,Exit,2022/03/31,Married,China
SH,2018081830,Male,1991/10/24,31.5,2018/09/17,Bachelor,D20060040,Exit,2021/11/26,Unmarried,China
GZ,2018101051,Female,1988/02/03,35.2,2018/10/18,Bachelor,D20060010,Exit,2021/12/31,Unmarried,China
GZ,2018101076,Female,1993/09/21,29.6,2018/10/31,Bachelor,D20060010,Exit,2022/01/04,Unmarried,China
GZ,2018111081,Female,1987/03/28,36.1,2018/11/20,Master,D20060010,Exit,2020/01/22,Unmarried,China
GZ,2018120027,Female,1982/12/29,40.4,2019/01/02,Bachelor,D20060010,Exit,2019/12/31,Married,China
SH,2018120100,Female,1997/02/25,26.2,2019/09/01,Bachelor,D20060040,Exit,2020/11/30,Unmarried,China
SH,2019010161,Female,1985/06/12,37.9,2019/02/12,Bachelor,D20060010,Exit,2019/06/21,Unmarried,China
GZ,2019010163,Female,1979/07/01,43.8,2019/02/13,Bachelor,D20060010,Exit,2019/04/30,Married,China
GZ,2019034071,Female,1995/01/23,28.3,2019/04/08,Bachelor,D20069031,Exit,2023/01/19,,China
GZ,2019040094,Female,1992/03/13,31.1,2019/05/06,Bachelor,D20069051,Exit,2023/01/31,,China
GZ,2019050160,Female,1978/01/09,45.3,2019/05/29,Bachelor,D20069031,Active,,Married,China
GZ,2019050166,Female,1996/07/26,26.8,2019/05/20,Bachelor,D20069031,Active,,Unmarried,China
GZ,2019050201,Female,1996/05/09,27.0,2019/06/01,Bachelor,D20060010,Exit,2020/05/22,Unmarried,China
GZ,2019050202,Female,1991/04/26,32.0,2019/06/01,Bachelor,D20060040,Exit,2022/04/02,Unmarried,China
GZ,2019060258,Female,1992/08/15,30.7,2019/06/10,Bachelor,D20060010,Exit,2022/06/09,Unmarried,China
GZ,2019060261,Female,1982/03/10,41.2,2019/06/18,Bachelor,D20060010,Exit,2020/07/15,Married,China
SH,2019060264,Female,1987/01/10,36.3,2019/07/01,Bachelor,D20060040,Exit,2019/10/09,Married,China
GZ,2019060284,Male,1982/10/10,40.6,2019/07/01,Bachelor,D20060010,Exit,2021/08/27,Married,China
GZ,2019060287,Female,1994/01/22,29.3,2019/07/01,Bachelor,D20069031,Exit,2023/04/04,Unmarried,China
GZ,2019070018,Female,1992/10/08,30.6,2019/07/15,Bachelor,D20060010,Exit,2019/12/20,Unmarried,China
SH,2019080173,Male,1990/06/17,32.9,2019/08/19,Bachelor,D20060010,Exit,2022/01/06,Married,China
GZ,2019080260,Female,1984/01/08,39.3,2019/09/23,Bachelor,D20060040,Exit,2022/10/09,Unmarried,China
SH,2019090273,Female,1994/03/27,29.1,2019/09/10,Bachelor,D20060040,Exit,2021/03/22,Married,China
SH,2019100009,Female,1991/03/06,32.2,2019/10/17,Bachelor,D20060040,Exit,2020/08/07,Unmarried,China
GZ,2019100011,Female,1993/09/17,29.6,2019/10/18,Bachelor,D20069031,Active,,Unmarried,China
GZ,2019110013,Male,1975/06/25,47.9,2019/11/01,Bachelor,D20069031,Active,,Unmarried,Malaysia
CS,2019110024,Female,1991/09/24,31.6,2019/11/01,Bachelor,D20069031,Active,,Unmarried,China
SH,2019110035,Female,1988/07/24,34.8,2019/12/05,Master,D20060040,Exit,2020/09/29,Unmarried,China
SH,2019120008,Female,1990/04/01,33.1,2019/12/18,Bachelor,D20060040,Exit,2021/11/26,Married,China
GZ,2020020094,Male,1983/01/03,40.3,2020/03/09,Bachelor,D20069031,Active,,Married,China
GZ,2020030057,Female,1993/07/27,29.8,2020/04/01,Master,D20060010,Exit,2020/07/31,Unmarried,China
